image_name,skin_redness,sweat_score
29665.png,88.83418367346938,88.83418367346938
31506.png,126.78252551020408,126.78252551020408
29331.png,59.38062021683673,59.38062021683673
30314.png,78.65523357780613,78.65523357780613
30552.png,133.77100605867346,133.77100605867346
29703.png,109.59648038903062,109.59648038903062
30565.png,147.17735570790816,147.17735570790816
29585.png,51.69214365433673,51.69214365433673
30344.png,165.8526985012755,165.8526985012755
31845.png,110.22454958545919,110.22454958545919
29623.png,139.89831792091837,139.89831792091837
29231.png,146.65318080357142,146.65318080357142
30231.png,113.33494100765306,113.33494100765306
30138.png,108.1455078125,108.1455078125
29779.png,129.14546795280611,129.14546795280611
32275.png,168.32551419005102,168.32551419005102
30653.png,91.05600286989795,91.05600286989795
29518.png,115.29488201530613,115.29488201530613
31168.png,132.94272161989795,132.94272161989795
30487.png,85.55030293367346,85.55030293367346
29956.png,174.33719308035714,174.33719308035714
29379.png,137.91922433035714,137.91922433035714
32268.png,106.44230309311224,106.44230309311224
30602.png,122.56076610331633,122.56076610331633
28787.png,154.3118821747449,154.3118821747449
29322.png,147.94230309311226,147.94230309311226
30094.png,96.44620934311224,96.44620934311224
32183.png,154.19210379464286,154.19210379464286
28736.png,70.67823262117346,70.67823262117346
31002.png,124.83015784438776,124.83015784438776
30991.png,166.0164022640306,166.0164022640306
29628.png,118.64979272959184,118.64979272959184
31836.png,33.10405373086735,33.10405373086735
29710.png,141.21727519132654,141.21727519132654
31060.png,48.02772241709184,48.02772241709184
31837.png,117.03922193877551,117.03922193877551
30504.png,57.55434869260204,57.55434869260204
32288.png,132.9426817602041,132.9426817602041
29617.png,110.77413504464286,110.77413504464286
30645.png,95.97965162627551,95.97965162627551
29317.png,191.17159598214286,191.17159598214286
29565.png,118.26977040816327,118.26977040816327
31416.png,99.36106903698979,99.36106903698979
28899.png,88.45505819515306,88.45505819515306
31156.png,104.65399792729592,104.65399792729592
31067.png,126.32696906887755,126.32696906887755
29335.png,97.04031808035714,97.04031808035714
30331.png,40.970344387755105,40.970344387755105
31708.png,112.64120296556122,112.64120296556122
32193.png,144.2991868622449,144.2991868622449
29780.png,98.40724649234694,98.40724649234694
31321.png,143.92522321428572,143.92522321428572
31490.png,58.43062420280612,58.43062420280612
29873.png,108.91962292729592,108.91962292729592
30632.png,52.95611447704081,52.95611447704081
29576.png,138.2599250637755,138.2599250637755
31248.png,116.46121651785714,116.46121651785714
29087.png,132.57077088647958,132.57077088647958
29597.png,75.99021444515306,75.99021444515306
31911.png,156.39387356505102,156.39387356505102
30137.png,111.54659598214286,111.54659598214286
31827.png,109.43168048469387,109.43168048469387
31783.png,110.25281010841837,110.25281010841837
29552.png,111.95105229591837,111.95105229591837
30963.png,145.3772520727041,145.3772520727041
29226.png,166.75723453443877,166.75723453443877
29166.png,119.12228954081633,119.12228954081633
31907.png,128.18032525510205,128.18032525510205
31740.png,107.14630500637755,107.14630500637755
31401.png,139.9683912627551,139.9683912627551
29937.png,105.54099569515306,105.54099569515306
30705.png,236.8087930484694,236.8087930484694
32026.png,123.0562818877551,123.0562818877551
31174.png,171.16741071428572,171.16741071428572
31484.png,114.39578683035714,114.39578683035714
31143.png,148.1042330994898,148.1042330994898
29301.png,52.141043526785715,52.141043526785715
32256.png,168.13835299744898,168.13835299744898
31218.png,144.87992267219389,144.87992267219389
28937.png,183.07950015943877,183.07950015943877
29386.png,140.2919323979592,140.2919323979592
31197.png,121.90445631377551,121.90445631377551
30310.png,87.18901466836735,87.18901466836735
30080.png,134.09747688137756,134.09747688137756
29756.png,103.36684869260205,103.36684869260205
29594.png,142.06503109056123,142.06503109056123
29633.png,147.40128746811226,147.40128746811226
30439.png,91.28691007653062,91.28691007653062
30432.png,118.41177056760205,118.41177056760205
32083.png,125.69515306122449,125.69515306122449
32163.png,148.50470344387756,148.50470344387756
31700.png,42.13813376913265,42.13813376913265
31409.png,94.34121890943878,94.34121890943878
32110.png,81.49097177933673,81.49097177933673
29521.png,87.07140864158163,87.07140864158163
31390.png,161.2411112882653,161.2411112882653
30950.png,114.27144451530613,114.27144451530613
30656.png,123.45424107142857,123.45424107142857
29832.png,124.74555564413265,124.74555564413265
31166.png,86.2889628507653,86.2889628507653
31871.png,143.94278140943877,143.94278140943877
31328.png,89.8793646364796,89.8793646364796
31521.png,95.19268176020408,95.19268176020408
31277.png,45.602818080357146,45.602818080357146
32060.png,110.8695990114796,110.8695990114796
31288.png,137.74075255102042,137.74075255102042
31220.png,121.61481584821429,121.61481584821429
29237.png,115.4159159757653,115.4159159757653
31807.png,129.8974609375,129.8974609375
32002.png,125.7876275510204,125.7876275510204
32226.png,122.46729512117346,122.46729512117346
31552.png,70.03657126913265,70.03657126913265
29034.png,126.04952566964286,126.04952566964286
30219.png,130.82551419005102,130.82551419005102
30776.png,148.25747369260205,148.25747369260205
29982.png,123.36537388392857,123.36537388392857
30634.png,169.2995057397959,169.2995057397959
29112.png,100.00117586096938,100.00117586096938
31325.png,159.97622369260205,159.97622369260205
32246.png,179.72074298469389,179.72074298469389
29998.png,52.43536750637755,52.43536750637755
31663.png,117.82856345663265,117.82856345663265
31431.png,151.22179926658163,151.22179926658163
29046.png,125.21434550382654,125.21434550382654
32264.png,134.0133131377551,134.0133131377551
29295.png,75.86334103954081,75.86334103954081
30588.png,73.93166055484694,73.93166055484694
31336.png,148.05026307397958,148.05026307397958
32245.png,196.04227120535714,196.04227120535714
31534.png,155.85046635841837,155.85046635841837
29538.png,103.58709343112245,103.58709343112245
29306.png,87.9740911989796,87.9740911989796
29897.png,120.76542570153062,120.76542570153062
31868.png,127.19830197704081,127.19830197704081
32029.png,135.8595344387755,135.8595344387755
31092.png,103.42113759566327,103.42113759566327
31393.png,99.32924107142857,99.32924107142857
31992.png,103.48439492984694,103.48439492984694
29728.png,122.19373804209184,122.19373804209184
29583.png,85.49894371811224,85.49894371811224
30455.png,150.03200733418367,150.03200733418367
32280.png,114.7481465242347,114.7481465242347
29049.png,119.75456393494898,119.75456393494898
32189.png,139.07160794005102,139.07160794005102
29135.png,147.65921954719389,147.65921954719389
31938.png,99.71500318877551,99.71500318877551
32190.png,130.93299585459184,130.93299585459184
31281.png,117.00079719387755,117.00079719387755
30654.png,134.39602598852042,134.39602598852042
31816.png,129.10548867984693,129.10548867984693
30557.png,169.9388352997449,169.9388352997449
32286.png,114.28950095663265,114.28950095663265
31733.png,131.37892617984693,131.37892617984693
31656.png,140.79834980867346,140.79834980867346
30702.png,181.94832190688774,181.94832190688774
30712.png,78.51596380739795,78.51596380739795
30208.png,131.9698860012755,131.9698860012755
30911.png,94.42340959821429,94.42340959821429
30364.png,135.63347018494898,135.63347018494898
30969.png,148.14279735331633,148.14279735331633
30633.png,128.49338329081633,128.49338329081633
29381.png,136.5015943877551,136.5015943877551
30833.png,121.20742984693878,121.20742984693878
31759.png,106.2125318877551,106.2125318877551
31610.png,98.75968590561224,98.75968590561224
30757.png,204.84480628188774,204.84480628188774
29580.png,106.62013711734694,106.62013711734694
29973.png,108.87336575255102,108.87336575255102
30767.png,48.301678093112244,48.301678093112244
29876.png,107.33597735969387,107.33597735969387
30421.png,156.27786192602042,156.27786192602042
29715.png,152.8537149234694,152.8537149234694
29298.png,180.85014748086735,180.85014748086735
32184.png,121.76211734693878,121.76211734693878
30025.png,185.52710459183675,185.52710459183675
30411.png,89.33707350127551,89.33707350127551
28794.png,106.82944036989795,106.82944036989795
29369.png,214.70994100765307,214.70994100765307
29203.png,110.12884646045919,110.12884646045919
28853.png,105.9907525510204,105.9907525510204
32154.png,127.69856106505102,127.69856106505102
29010.png,102.92458545918367,102.92458545918367
31190.png,127.13845264668367,127.13845264668367
30665.png,147.42103794642858,147.42103794642858
31643.png,72.56184231505102,72.56184231505102
29914.png,108.61427774234694,108.61427774234694
31912.png,115.08934550382654,115.08934550382654
30466.png,90.43911431760205,90.43911431760205
30224.png,168.0144889987245,168.0144889987245
30898.png,145.69314014668367,145.69314014668367
31117.png,103.96843112244898,103.96843112244898
32044.png,161.62109375,161.62109375
31216.png,75.00920758928571,75.00920758928571
32139.png,132.49766820790816,132.49766820790816
29786.png,192.6125039859694,192.6125039859694
31583.png,133.5625,133.5625
30595.png,159.7042012117347,159.7042012117347
31468.png,139.22925302933675,139.22925302933675
29309.png,180.27525111607142,180.27525111607142
30996.png,83.36367984693878,83.36367984693878
29692.png,144.48862005739795,144.48862005739795
30879.png,140.73100685586735,140.73100685586735
29367.png,157.38952885841837,157.38952885841837
31852.png,85.83131377551021,85.83131377551021
29138.png,70.9305644132653,70.9305644132653
29218.png,117.42580117984694,117.42580117984694
30179.png,124.40790417729592,124.40790417729592
32010.png,131.89993223852042,131.89993223852042
29584.png,144.0810546875,144.0810546875
28750.png,117.7752909757653,117.7752909757653
29825.png,84.84141820790816,84.84141820790816
32025.png,122.1963887117347,122.1963887117347
